Name,SMILES,BSEP,HERG,BBB,PDK1,HIVPRO
50775618,CC[C@@H](C(O[C@@H]1[C@H]([C@@H](CC[C@H]2OC(=O)C[C@H](O)C2)[C@@H](C)C=C3)C3=C[C@H](C)C1)=O)C,1,,,,
50774876,CC[C@@H]1[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@](O)(C)[C@H](O[C@H]2[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@](OC)(C)C3)[C@@H](C)C(=O)O1,1,,,,
50375468,CC[C@@H]1[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@](O)(C)[C@H](O[C@H]2[C@H](OC(CC)=O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@](OC)(C)C3)[C@@H](C)C(=O)O1,1,,,,
50739346,CC[C@@H]1[C@@](C)(OC(=O)N2CCCCn3cc(c4cnccc4)nc3)[C@H]2[C@@H](C)C(=O)[C@H](C)C[C@](OC)(C)[C@H](O[C@H]5[C@H](O)[C@@H](N(C)C)C[C@@H](C)O5)[C@@H](C)C(=O)[C@@H](C)C(=O)O1,1,,,,
51026619,CC\C(\c1ccccc1)=C(\c2ccc(OCCN(C)C)cc2)/c3ccccc3,1,,,,
51086418,CC1([C@H](c2ccccc2)N([C@@H]3CC[C@@H](c4cc(c5ncccn5)c(N)nc4)CC3)C(=O)O1)C,1,,,,
50775468,Cc1c(c2ccc(Cl)cc2)n(c3c(Cl)cc(Cl)cc3)nc1C(NN4CCCCC4)=O,1,,,,
50774797,Cc1c(O)c(C)c(CCC(COc2ccc(CC3=C(O)NC(=O)S3)cc2)(C)O4)c4c1C,1,,,,
50375461,Cc1c(O)c(C)c(CCC(COc2ccc(CC3C(=O)NC(=O)S3)cc2)(C)O4)c4c1C,1,,,,
50753248,Cc1oc(cc(C(=O)O)n2Cc3cc(Cl)c(Cl)cc3)c2c1,1,,,,
50753695,CC1CC(C)(C)CC(OC(C(c2ccccc2)O)=O)C1,1,,,,
50774965,Cc1c(C(Nc2cc(C)c(C(N3c(ccc(Cl)c4)c4C(O)CCC3)=O)cc2)=O)cccc1,1,,,,
50775645,Cc1nc(N2CCN(CCO)CC2)cc(Nc3sc(C(Nc4c(Cl)cccc4C)=O)cn3)n1,1,,,,
50774982,Cc1c(Cl)c(NS(c2c(C(Cc3c(C)cc(OCO4)c4c3)=O)scc2)(=O)=O)on1,1,,,,
50375363,CCC(O[C@@]1(C(CCl)=O)[C@@](C)(C[C@H](O)[C@](F)([C@@](C)(C=CC2=O)C(=C2)CC3)[C@@H]34)[C@H]4C[C@@H]1C)=O,1,,,,
50739097,CCC(C(O[C@@H]1[C@H]([C@@H](CC[C@H]2OC(=O)C[C@H](O)C2)[C@@H](C)C=C3)C3=C[C@H](C)C1)=O)(C)C,1,,,,
50739201,CCC(C(=O)N(C(NCCc1ccc(S(NC(N[C@@H]2CC[C@@H](C)CC2)=O)(=O)=O)cc1)=O)C3)=C3C,1,,,,
51350482,CCc1cnc(CCOc2ccc(CC3C(=O)NC(=O)S3)cc2)cc1,1,,,,
317676,CCC1C(=O)N(C)C(C)C(=O)N(CC)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C(C\C=C\C)C)O)C(=O)N1,1,,,,
317675,CCC1C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C(C\C=C\C)C)O)C(=O)N1,1,,,,
50739703,CCc1c(C(c2cc(Br)c(O)c(Br)c2)=O)c(cccc3)c3o1,1,,,,
50777132,CCCc1n(Cc2ccc(c3c(c4[nH]nnn4)cccc3)cc2)c(C(OCC5=C(C)OC(=O)O5)=O)c(C(O)(C)C)n1,1,,,,
50739200,CCCc1n(Cc2ccc(c3c(C(=O)O)cccc3)cc2)c(cc(c4n(C)c(cccc5)c5n4)cc6C)c6n1,1,,,,
50775649,CCCCC(OCC([C@@]1(Cc(c(O)c(C(=O)c(cccc2OC)c2C3=O)c3c4O)c4[C@@H](O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](NC(C(F)(F)F)=O)C5)C1)O)=O)=O,1,,,,
51350492,CCCCC(N(Cc1ccc(c2c(c3[nH]nnn3)cccc2)cc1)C(=O)C45CCCC4)=N5,1,,,,
50754315,CCCCCCCCCCCCc1ccc(S(Nc2scnn2)(=O)=O)cc1,1,,,,
50771824,CCCCNC(c1cc(NS(c2c(Cl)cc(Cl)cc2)(=O)=O)c(Oc3c(OC)cc(CC(=O)O)cc3)cc1)=O,1,,,,
50739680,CCOC([C@@]1(OC1)CCCCCCOc2ccc(Cl)cc2)=O,1,,,,
50777244,CCOC([C@H]1[C@H](OC)[C@@H](O[C@H]2[C@H](O)[C@@H](N(C)C)[C@H](O[C@@H]3O[C@@H](C)[C@H](OC(CC)=O)[C@@](O)(C)C3)[C@@H](C)O2)[C@@H](CC=O)C[C@@H](C)[C@@H](O)\C=C\C=C\C[C@@H](C)OC(=O)C1)=O,1,,,,
50754412,CCOC([C@@H](N[C@H](C(N1[C@H](C(=O)O)Cc(cccc2)c2C1)=O)C)CCc3ccccc3)=O,1,,,,
50775623,CCOc1c(C(=O)O)ccc(CC(N[C@H](c2c(N3CCCCC3)cccc2)CC(C)C)=O)c1,1,,,,
50775210,CCOc1c(NC(\C=C\CN(C)C)=O)cc(c(Nc2cc(Cl)c(OCc3ncccc3)cc2)c(C#N)cn4)c4c1,1,,,,
50739725,Clc1ccc(COC(c2c(Cl)cc(Cl)cc2)Cn3cncc3)cc1,1,,,,
50775223,Clc1c(C2S\C(=C(\n3cncc3)/C#N)\SC2)cccc1,1,,,,
50739565,CN(C(CCSC(c1cc(\C=C\c2nc(cc(Cl)cc3)c3cc2)ccc1)SCCC(=O)O)=O)C,1,,,,
